DateTime,OPEN,CLOSE,VOLUME,AMT
2016/1/20,3204.2183,3174.3781,13065050400,1.43313E+11
2016/1/21,3136.3841,3081.3454,11118973300,1.21856E+11
2016/1/22,3114.895,3113.4626,8995108700,96885673842
2016/1/25,3129.0279,3128.886,8154006100,85777891364
2016/1/26,3099.5957,2940.5085,12693392100,1.27251E+11
2016/1/27,2953.1826,2930.3519,13222936600,1.26998E+11
2016/1/28,2909.3341,2853.7562,9922275600,95663874927
2016/1/29,2855.5983,2946.0902,11330425900,1.09462E+11
2016/2/1,2939.0401,2901.0477,8679534200,82931453498
2016/2/2,2901.5284,2961.3337,8860196300,88740230428
2016/2/3,2931.2883,2948.6386,7738900000,74817092259
2016/2/4,2960.3335,2984.7598,9177972400,91550346872
2016/2/5,2982.0563,2963.7894,7685080800,77443222334
2016/2/15,2888.4277,2946.7066,7291943400,71285049141
2016/2/16,2962.1871,3037.0353,11257964300,1.123E+11
2016/2/17,3034.0902,3063.3199,12829160700,1.22279E+11
2016/2/18,3079.5272,3053.6985,12440146400,1.22619E+11
2016/2/19,3047.9417,3051.585,8733801200,90849341804
2016/2/22,3083.9325,3118.8675,14094696800,1.41684E+11
2016/2/23,3117.2027,3089.3632,11256739100,1.17476E+11
2016/2/24,3077.6062,3109.5454,11178265000,1.12919E+11
2016/2/25,3104.4097,2918.7501,15782975200,1.53493E+11
2016/2/26,2942.0954,2948.0306,10694972900,1.02532E+11
2016/2/29,2939.5802,2877.4666,12934102000,1.18441E+11
2016/3/1,2881.3353,2930.6937,11604591800,1.10491E+11
2016/3/2,2933.9209,3051.3327,17597234700,1.64025E+11
2016/3/3,3050.3886,3058.4219,17310574400,1.65509E+11
2016/3/4,3047.5371,3093.8895,21917253400,2.0552E+11
2016/3/7,3108.9994,3104.8397,13246203700,1.2779E+11
2016/3/8,3100.1492,3107.6727,13623574200,1.28758E+11
2016/3/9,3045.9238,3071.907,11146624500,1.06299E+11
2016/3/10,3056.2104,3013.1457,7607219700,78180468559
2016/3/11,2990.2135,3018.2844,7333356400,74367296548
2016/3/14,3039.5689,3065.6904,11710865500,1.23539E+11
